Text,Place,Perpetrator,Date,Gang violence,Sexual violence,Famine
"Gun fights took place in Gressier on 23 May between police officers and gangs. Since the gangs briefly took control of the commune on 12 May, instability has remained in the area. On 19 May, several gang members were killed in the shootings.",Gressier,N/A,19 May,Yes,No,No
"Three missionaries, two US citizens and one Haitian, were shot by gang members in Port-au-Prince on 23 May.",Port-au-Prince,N/A,23 May,Yes,No,No
"Members of the gang “400 Mawozo” carried out an attack on the commune of Thomazeau on 21 May, leading to the death of four people and the burning of a dozen homes.",Thomazeau,"400 Mawozo",21 May,Yes,No,No
"A tornado in the commune of Bassin-Bleu led to at least 36 injured and resulted in a lot of damage.",Bassin-Bleu,N/A,N/A,No,No,Yes
"The shortage of medicine and supplies is worsening, with painkillers and anesthetics starting to run out and over 30 health facilities and hospitals have closed in Port-au-Prince.",Port-au-Prince,N/A,N/A,No,No,Yes
"Médecins Sans Frontières (MSF) stated that it has not been possible to import supplies into Haiti since mid-March and urged armed groups and authorities to facilitate the delivery of medical supplies.",N/A,N/A,Mid-March,No,No,Yes
"A vaccination campaign against Diphtheria is ongoing in the departments of Artibonite, Center, Grande-Anse, Nippes, North, North-East, South, and South-East, targeting 348,680 children.",N/A,N/A,N/A,No,No,No
"The Apostolic Nuncio of the Vatican Catholic church has been transferred from Haiti.",Haiti,N/A,N/A,No,No,No
"The truce between gangs in Cité-Soleil was broken on 12 September due to disagreements related to a penalty in a football match. It is not yet clear how many people have been killed in the unrest that has followed, although it has been reported that the second leader of Simon Pelé’s gang has died.", Cité-Soleil, N/A, 12 September, Yes, No, No
"The clashes in Cité-Soleil and Delmas have displaced 2,300 people.", Cité-Soleil and Delmas, N/A, N/A, Yes, No, No
"27 people died and over 30 were injured in an accidental fuel tanker explosion in Miragoâne.", Miragoâne, N/A, N/A, No, No, No
"The state of emergency has been extended to 3 May, with the curfew extended to 17 April.",N/A,N/A,"3 May, 17 April",No,No,No
"Gang leaders are demanding a seat on the Presidential Transitional Council, and are ready to use violence until they are part of discussions concerning the future of the country.",N/A,"Gang leaders",N/A,Yes,No,No
"Gangs have now also taken control of maritime routes, with increased incidences of theft, boat hijackings, and kidnappings in Haitian territorial waters.",Haitian territorial waters,"Gangs",N/A,Yes,No,No
"Haiti’s international airport, Toussaint Louverture in Port-au-Prince, is not likely to allow any flights in or out of Haiti anytime soon.",Port-au-Prince,N/A,N/A,No,No,No
"The Guy Malary National Airport also remains closed.",Port-au-Prince,N/A,N/A,No,No,No
"Two gang members were killed by the Haitian National Police (PNH) on 15 April, while another person was lynched in Mirebalais by the public for allegedly possessing a firearm and ammunition.",Mirebalais,"Haitian National Police, Public",15 April,Yes,No,No
"1,370 cases of rape were reported in 11 months in the Arbonite department in central Haiti.",Arbonite department,N/A,"11 months",No,Yes,No
"The public seaport is closed as hundreds of cargo containers are under control of the gangs.",Port-au-Prince,"Gangs",N/A,Yes,No,No
"The national library of Haiti was stormed and looted on 3 April. Previously, the National School of Art was attacked on 28 March.",Haiti,N/A,"3 April, 28 March",Yes,No,No
"The majority of districts in Cité Soleil are flooded due to extensive rainfall in the capital city.",Cité Soleil,N/A,N/A,No,No,No
"Haiti is facing a fuel shortage as petrol stations are either closed due to increased insecurity or under control of gangs who supply the black market.",Haiti,"Gangs",N/A,Yes,No,Yes
"15 Tons of medical supplies landed in Haiti on 12 April.",Haiti,N/A,12 April,No,No,No
"A malaria outbreak has emerged in four communes in the South department.",South department,N/A,N/A,No,No,No
"22,500 displaced people from Port-au-Prince have found refuge in Les Cayes.",Port-au-Prince,"Displaced people",N/A,No,No,Yes
"Approximately 10 people were killed in an attack by armed men on the public market of Cabaret Archaie in the West Department on 11 April.",Cabaret Archaie,"Armed men",11 April,Yes,No,No
"La Paix University Hospital is not able to respond to the increasing number of patients.",Port-au-Prince,N/A,N/A,No,No,No
"Pregnant women are giving birth in dire situations as many clinics are closed and the journey to the ones that are still open may be dangerous.",Haiti,N/A,N/A,No,No,Yes
"Journalists have increasingly been victims of attacks, kidnappings, and killings.",Haiti,"Unknown",N/A,Yes,No,No
"Gang leader Johnson Andre, aka Izo, has been using social media to recruit soldiers and spread messages of terror.",N/A,Johnson Andre,N/A,Yes,Yes,No
"A state of emergency was declared in 14 gang-controlled municipalities.",14 municipalities,N/A,N/A,Yes,No,No
"Members of the '400 Mawozo' gang attacked the police station in Ganthier on 21 July, setting fire to part of the station.",Ganthier,"400 Mawozo",21 July,Yes,No,No
"The PNH has been deployed in Gressier, Léogâne, and Ganthier to counteract threats from gang members.",Gressier,PNH,N/A,Yes,No,No
"A boat carrying Haitian migrants caught fire off the northern coast of Haiti, leading to the death of at least 40 people.",Northern coast of Haiti,N/A,N/A,No,No,No
"Transport between Port-au-Prince and the Southern departments has been halted.",Southern departments,N/A,N/A,No,No,No
"A key port in Port-au-Prince was recaptured from gangs by the National Haitian Police Force and Kenyan officers on 17 July.",Port-au-Prince,"PNH, Kenyan officers",17 July,Yes,No,No
"Between March and July 2024, the number of internally displaced children in Haiti increased by 60%.",Haiti,N/A,"March - July 2024",No,No,Yes
"In Haiti’s Northeast Department, public hospitals are severely understaffed and under-resourced.",Northeast Department,N/A,N/A,No,No,Yes
